sno,Temperature,pH,Turbidity,Water_quality
544,17.55,9.3,195,Bad
545,17.54,9.3,195,Bad
546,17.54,9.3,195,Bad
547,17.56,9.3,195,Bad
548,17.57,9.3,195,Bad
549,17.56,9.3,195,Bad
550,17.57,9.3,195,Bad
551,17.55,9.3,195,Bad
552,17.54,9.4,195,Bad
553,17.53,9.4,195,Bad
554,17.52,9.4,195,Bad
555,17.5,9.4,195,Bad
556,17.49,9.4,195,Bad
557,17.47,9.4,195,Bad
558,17.47,9.4,195,Bad
559,17.5,9.4,195,Bad
560,17.51,9.4,195,Bad
561,17.54,9.4,195,Bad
562,17.53,9.4,195,Bad
563,17.55,9.4,195,Bad
564,17.57,9.4,195,Bad
565,17.57,9.4,195,Bad
566,17.57,9.4,195,Bad
567,17.59,8.3,195,Good
568,17.56,8.3,195,Good
569,17.56,8.3,195,Good
570,17.54,8.3,195,Good
571,17.51,8.3,195,Good
572,17.49,8.3,195,Good
573,17.49,8.3,195,Good
574,17.5,8.3,195,Good
575,17.49,8.3,195,Good
576,17.47,8.3,195,Good
577,17.46,8.3,195,Good
578,17.45,8.3,195,Good
579,17.45,8.3,195,Good
580,17.44,8.3,195,Good
581,17.43,8.3,195,Good
582,17.46,8.3,195,Good
583,17.44,8.3,195,Good
584,17.46,8.3,195,Good
585,17.44,8.3,195,Good
586,17.46,8.3,195,Good
587,17.45,8.3,195,Good
588,17.48,8.3,195,Good
589,17.48,8.3,195,Good
590,17.5,8.3,195,Good
591,17.52,8.31,195,Good
592,17.54,8.31,195,Good
593,17.53,8.31,195,Good
594,17.54,8.31,195,Good
595,17.56,8.31,195,Good
596,17.57,8.31,195,Good
597,17.56,8.31,195,Good
598,17.55,8.31,195,Good
599,17.56,8.31,195,Good
600,17.54,8.31,195,Good
601,17.51,8.31,195,Good
602,17.52,8.31,195,Good
603,17.52,8.31,195,Good
604,17.53,8.31,195,Good
605,17.55,8.31,195,Good
606,17.54,8.31,195,Good
607,17.56,8.31,195,Good
608,17.57,8.31,194,Good
609,17.54,8.31,194,Good
610,17.53,8.31,194,Good
611,17.54,8.31,194,Good
612,17.54,8.31,194,Good
613,17.52,8.31,194,Good
614,17.52,8.31,194,Good
615,17.53,8.31,194,Good
616,17.52,8.31,194,Good
617,17.53,8.31,194,Good
618,17.51,8.31,194,Good
619,17.53,8.31,194,Good
620,17.53,8.31,194,Good
621,17.5,8.31,194,Good
622,17.49,8.31,194,Good
623,17.51,8.31,194,Good
624,17.49,8.31,194,Good
625,17.5,8.31,194,Good
626,17.5,8.31,194,Good
627,17.5,8.31,194,Good
628,17.51,8.31,194,Good
629,17.51,8.31,194,Good
630,17.5,8.31,194,Good
631,17.51,8.31,194,Good
632,17.51,8.31,194,Good
633,17.52,8.31,194,Good
634,17.51,8.31,194,Good
635,17.52,8.31,194,Good
636,17.5,8.31,194,Good
637,17.5,8.31,194,Good
638,17.49,8.31,194,Good
639,17.47,8.31,194,Good
640,17.45,8.31,194,Good
641,17.45,8.31,194,Good
642,17.44,8.31,194,Good
643,17.46,8.31,194,Good
644,17.46,8.31,194,Good
645,17.44,8.31,194,Good
646,17.45,8.31,194,Good
647,17.43,8.31,194,Good
648,17.43,8.31,194,Good
649,17.45,8.31,194,Good
650,17.44,8.3,194,Good
651,17.45,8.3,194,Good
652,17.43,8.3,194,Good
653,17.42,8.3,194,Good
654,17.43,8.3,194,Good
655,17.43,8.3,194,Good
656,17.42,8.3,194,Good
657,17.42,8.3,194,Good
658,17.41,8.3,194,Good
659,17.42,8.3,194,Good
660,17.41,8.3,194,Good
661,17.41,8.3,194,Good
662,17.4,8.3,194,Good
663,17.43,8.3,194,Good
664,17.45,8.3,194,Good
665,17.46,8.3,194,Good
666,17.49,8.3,194,Good
667,17.47,8.3,194,Good
668,17.46,8.3,194,Good
669,17.45,8.3,194,Good
670,17.44,8.3,194,Good
671,17.44,8.3,194,Good
672,17.46,8.3,194,Good
673,17.46,8.3,194,Good
674,17.48,8.3,194,Good
675,17.46,8.3,194,Good
676,17.48,8.3,194,Good
677,17.47,8.3,194,Good
678,17.49,8.3,194,Good
679,17.48,9.4,194,Bad
680,17.46,9.4,194,Bad
681,17.48,9.4,194,Bad
682,17.49,9.4,194,Bad
683,17.5,9.4,194,Bad
684,17.49,9.4,194,Bad
685,17.51,9.4,194,Bad
686,17.5,9.4,194,Bad
687,17.5,9.4,194,Bad
688,17.48,9.4,194,Bad
689,17.49,9.4,194,Bad
690,17.48,9.4,194,Bad
691,17.47,9.4,194,Bad
692,17.49,9.4,194,Bad
693,17.48,9.4,194,Bad
694,17.5,9.4,194,Bad
695,17.49,9.4,194,Bad
696,17.49,9.4,194,Bad
697,17.49,9.4,194,Bad
698,17.47,9.4,194,Bad
699,17.46,9.3,194,Bad
700,17.44,9.3,194,Bad
701,17.45,9.3,194,Bad
702,17.46,9.3,194,Bad
703,17.44,9.3,194,Bad
704,17.46,9.3,194,Bad
705,17.44,9.3,194,Bad
706,17.47,9.3,194,Bad
707,17.45,9.3,194,Bad
708,17.44,9.3,194,Bad
709,17.45,9.3,194,Bad
710,17.46,9.3,194,Bad
711,17.46,9.3,194,Bad
712,17.45,9.3,194,Bad
713,17.44,9.3,194,Bad
714,17.42,9.3,194,Bad
715,17.45,9.3,194,Bad
716,17.46,9.3,194,Bad
717,17.44,9.25,194,Bad
718,17.47,9.25,194,Bad
719,17.49,9.25,194,Bad
720,17.5,9.25,194,Bad
721,17.52,9.25,194,Bad
722,17.54,9.25,194,Bad
723,17.52,9.25,194,Bad
724,17.54,9.25,194,Bad
725,17.55,9.25,194,Bad
726,17.55,9.25,194,Bad
727,17.55,9.25,194,Bad
728,17.56,9.25,194,Bad
729,17.56,9.25,194,Bad
730,17.56,9.25,194,Bad
731,17.58,9.25,194,Bad
732,17.6,9.25,194,Bad
733,17.62,9.1,194,Bad
734,17.61,9.1,194,Bad
735,17.61,9.1,194,Bad
736,17.63,9.1,194,Bad
737,17.62,9.1,194,Bad
738,17.64,9.1,194,Bad
739,17.63,9.1,194,Bad
740,17.64,9.1,194,Bad
741,17.62,9.1,194,Bad
742,17.61,9.1,194,Bad
743,17.63,9.1,194,Bad
744,17.64,9.1,194,Bad
745,17.65,9.1,194,Bad
746,17.64,9.1,194,Bad
747,17.66,9.1,194,Bad
748,17.65,9.1,194,Bad
749,17.64,9.1,194,Bad
750,17.62,9.1,194,Bad
751,17.61,9.1,194,Bad
752,17.64,8.25,194,Good
753,17.62,8.25,194,Good
754,17.64,8.25,194,Good
755,17.64,8.25,194,Good
756,17.63,8.25,194,Good
757,17.61,8.25,194,Good
758,17.61,8.25,194,Good
759,17.59,8.25,194,Good
760,17.59,8.25,194,Good
761,17.58,8.25,194,Good
762,17.57,8.25,194,Good
763,17.59,8.25,194,Good
764,17.6,8.25,194,Good
765,17.6,8.24,194,Good
766,17.6,8.24,194,Good
767,17.59,8.24,194,Good
768,17.62,8.24,194,Good
769,17.64,8.24,194,Good
770,17.63,8.24,194,Good
771,17.64,8.24,194,Good
772,17.66,8.24,194,Good
773,17.69,8.24,194,Good
774,17.68,8.23,194,Good
775,17.68,8.23,194,Good
776,17.68,8.23,194,Good
777,17.69,8.23,194,Good
778,17.71,8.23,194,Good
779,17.72,8.23,194,Good
780,17.74,8.23,195,Good
781,17.73,8.23,195,Good
782,17.71,8.22,195,Good
783,17.71,8.22,195,Good
784,17.71,8.22,195,Good
785,17.73,8.22,195,Good
786,17.7,8.22,195,Good
787,17.7,8.22,195,Good
788,17.69,8.22,195,Good
789,17.67,8.22,195,Good
790,17.66,8.21,195,Good
791,17.66,8.21,195,Good
792,17.66,8.21,195,Good
793,17.67,8.21,195,Good
794,17.69,8.21,195,Good
795,17.71,8.21,195,Good
796,17.73,8.21,195,Good
797,17.74,8.2,195,Good
798,17.75,8.2,195,Good
799,17.73,8.2,195,Good
800,17.74,8.19,195,Good
801,17.72,8.19,195,Good
802,17.7,8.19,195,Good
803,17.71,8.19,195,Good
804,17.69,8.18,195,Good
805,17.71,8.18,195,Good
806,17.7,8.18,195,Good
807,17.7,8.17,195,Good
808,17.7,8.17,195,Good
809,17.72,8.17,195,Good
810,17.7,8.16,195,Good
811,17.71,8.16,195,Good
812,17.74,8.16,195,Good
813,17.72,8.16,195,Good
814,17.7,8.15,195,Good
815,17.68,8.15,195,Good
816,17.71,8.15,195,Good
817,17.7,8.15,195,Good
818,17.72,8.14,195,Good
819,17.72,8.14,195,Good
820,17.71,8.14,195,Good
821,17.74,8.14,195,Good
822,17.77,8.13,195,Good
823,17.76,8.13,195,Good
824,17.75,8.13,195,Good
825,17.78,8.13,195,Good
826,17.79,8.12,195,Good
827,17.78,8.12,195,Good
828,17.77,8.12,195,Good
829,17.79,8.12,195,Good
830,31.4,8.12,195,Good
831,17.79,8.11,195,Good
832,17.79,8.11,195,Good
833,17.78,8.11,195,Good
834,17.79,8.11,195,Good
835,31.3,8.1,195,Good
836,17.84,8.1,195,Good
837,17.85,8.1,195,Good
838,17.85,8.1,195,Good
839,17.84,8.09,195,Good
840,17.83,8.09,195,Good
841,17.83,8.09,195,Good
842,17.85,8.09,195,Good
843,17.85,8.09,195,Good
844,17.86,8.08,195,Good
845,17.87,8.08,195,Good
846,17.89,8.08,195,Good
847,17.91,8.08,195,Good
848,17.92,8.08,195,Good
849,17.93,8.07,195,Good
850,17.91,8.07,195,Good
851,17.89,8.07,195,Good
852,17.9,8.07,195,Good
853,17.89,8.07,195,Good
854,17.9,8.06,195,Good
855,17.91,8.06,195,Good
856,17.93,8.06,195,Good
857,17.91,8.06,195,Good
858,17.93,8.06,195,Good
859,17.96,8.06,195,Good
860,17.96,8.05,196,Good
861,17.96,8.05,196,Good
862,17.95,8.05,196,Good
863,17.94,8.05,196,Good
864,17.95,8.05,196,Good
865,17.95,8.04,196,Good
866,17.95,8.04,196,Good
867,17.95,8.04,196,Good
868,17.96,8.04,196,Good
869,17.94,8.04,196,Good
870,17.96,8.04,196,Good
871,17.96,8.03,196,Good
872,17.99,8.03,196,Good
873,17.99,8.03,196,Good
874,18,8.03,196,Good
875,18.03,8.03,196,Good
876,18.04,8.02,196,Good
877,18.04,8.02,196,Good
878,18.06,8.02,196,Good
879,18.06,8.02,196,Good
880,18.03,8.02,196,Good
881,16.5,8.02,196,Good
882,16.1,8.01,196,Good
883,16.5,8.01,196,Good
884,16.5,8.01,196,Good
885,16.5,8.01,196,Good
886,18.07,8.01,196,Good
887,16.1,8.01,196,Good
888,18.1,8,196,Good
889,18.09,8,196,Good
890,18.12,8,196,Good
891,18.1,8,196,Good
892,18.11,8,196,Good
893,18.11,7.99,196,Good
894,18.12,7.99,196,Good
895,18.11,7.99,196,Good
896,18.1,7.99,196,Good
897,16.1,7.99,197,Good
898,16.1,5.99,197,Bad
899,18.07,5.99,197,Good
900,18.07,5.99,197,Good
901,18.09,5.99,197,Good
902,18.11,5.99,197,Good
903,18.12,7.97,197,Good
904,18.11,7.97,197,Good
905,18.14,7.97,197,Good
906,18.12,7.97,197,Good
907,18.15,7.96,197,Good
908,18.16,7.96,197,Good
909,18.18,7.96,197,Good
910,18.2,7.96,197,Good
911,18.19,7.95,197,Good
912,18.2,7.95,197,Good
913,18.21,7.95,197,Good
914,18.21,7.94,197,Good
915,18.21,7.94,197,Good
916,18.23,7.94,197,Good
917,18.22,7.94,197,Good
918,18.21,7.93,197,Good
919,18.2,7.93,197,Good
920,18.23,7.93,197,Good
921,18.25,7.93,197,Good
922,18.25,7.92,197,Good
